ADHOME = D:\SVN\ad2005
jaso2jh() wrong!8861 -  2 3 1
jaso2jh() wrong!9A41 -  6 12 1
jaso2jh() wrong!9A45 -  6 12 5
jaso2jh() wrong!9A81 -  6 14 1
jaso2jh() wrong!9A82 -  6 14 2
jaso2jh() wrong!9A85 -  6 14 5
jaso2jh() wrong!9A89 -  6 14 9
jaso2jh() wrong!9A90 -  6 14 10
jaso2jh() wrong!9A91 -  6 14 11
jaso2jh() wrong!9A97 -  6 14 17
jaso2jh() wrong!9AC1 -  6 16 1
jaso2jh() wrong!9AE1 -  6 17 1
jaso2jh() wrong!9AE5 -  6 17 5
jaso2jh() wrong!9AE9 -  6 17 9
jaso2jh() wrong!9AF1 -  6 17 11
jaso2jh() wrong!9AF3 -  6 17 13
jaso2jh() wrong!9AF7 -  6 17 17
jaso2jh() wrong!9B61 -  6 1B 1
jaso2jh() wrong!9B62 -  6 1B 2
jaso2jh() wrong!9B65 -  6 1B 5
jaso2jh() wrong!9B68 -  6 1B 8
jaso2jh() wrong!9B69 -  6 1B 9
jaso2jh() wrong!9B71 -  6 1B 11
jaso2jh() wrong!9B73 -  6 1B 13
jaso2jh() wrong!9B75 -  6 1B 15
jaso2jh() wrong!9B81 -  6 1C 1
jaso2jh() wrong!9B85 -  6 1C 5
jaso2jh() wrong!9B89 -  6 1C 9
jaso2jh() wrong!9B91 -  6 1C 11
jaso2jh() wrong!9B93 -  6 1C 13
jaso2jh() wrong!9BA1 -  6 1D 1
jaso2jh() wrong!9BA5 -  6 1D 5
jaso2jh() wrong!9BA9 -  6 1D 9
jaso2jh() wrong!9BB1 -  6 1D 11
jaso2jh() wrong!9BB3 -  6 1D 13
jaso2jh() wrong!9BB5 -  6 1D 15
jaso2jh() wrong!9BB7 -  6 1D 17
jaso2jh() wrong!9C61 -  7 3 1
jaso2jh() wrong!9C62 -  7 3 2
jaso2jh() wrong!9C65 -  7 3 5
jaso2jh() wrong!9C69 -  7 3 9
jaso2jh() wrong!9C71 -  7 3 11
jaso2jh() wrong!9C73 -  7 3 13
jaso2jh() wrong!9C75 -  7 3 15
jaso2jh() wrong!9C76 -  7 3 16
jaso2jh() wrong!9C77 -  7 3 17
jaso2jh() wrong!9C78 -  7 3 18
jaso2jh() wrong!9C7C -  7 3 1C
jaso2jh() wrong!9C7D -  7 3 1D
jaso2jh() wrong!9C81 -  7 4 1
jaso2jh() wrong!9C82 -  7 4 2
jaso2jh() wrong!9C85 -  7 4 5
jaso2jh() wrong!9C89 -  7 4 9
jaso2jh() wrong!9C91 -  7 4 11
jaso2jh() wrong!9C93 -  7 4 13
jaso2jh() wrong!9C95 -  7 4 15
jaso2jh() wrong!9C96 -  7 4 16
jaso2jh() wrong!9C97 -  7 4 17
jaso2jh() wrong!9CA1 -  7 5 1
jaso2jh() wrong!9CA2 -  7 5 2
jaso2jh() wrong!9CA5 -  7 5 5
jaso2jh() wrong!9CB5 -  7 5 15
jaso2jh() wrong!9CB7 -  7 5 17
jaso2jh() wrong!9CE1 -  7 7 1
jaso2jh() wrong!9CE2 -  7 7 2
jaso2jh() wrong!9CE5 -  7 7 5
jaso2jh() wrong!9CE9 -  7 7 9
jaso2jh() wrong!9CF1 -  7 7 11
jaso2jh() wrong!9CF3 -  7 7 13
jaso2jh() wrong!9CF5 -  7 7 15
jaso2jh() wrong!9CF6 -  7 7 16
jaso2jh() wrong!9CF7 -  7 7 17
jaso2jh() wrong!9CFD -  7 7 1D
jaso2jh() wrong!9D41 -  7 A 1
jaso2jh() wrong!9D42 -  7 A 2
jaso2jh() wrong!9D45 -  7 A 5
jaso2jh() wrong!9D49 -  7 A 9
jaso2jh() wrong!9D51 -  7 A 11
jaso2jh() wrong!9D53 -  7 A 13
jaso2jh() wrong!9D55 -  7 A 15
jaso2jh() wrong!9D57 -  7 A 17
jaso2jh() wrong!9D61 -  7 B 1
jaso2jh() wrong!9D62 -  7 B 2
jaso2jh() wrong!9D65 -  7 B 5
jaso2jh() wrong!9D69 -  7 B 9
jaso2jh() wrong!9D71 -  7 B 11
jaso2jh() wrong!9D73 -  7 B 13
jaso2jh() wrong!9D75 -  7 B 15
jaso2jh() wrong!9D76 -  7 B 16
jaso2jh() wrong!9D77 -  7 B 17
jaso2jh() wrong!9D81 -  7 C 1
jaso2jh() wrong!9D85 -  7 C 5
jaso2jh() wrong!9D93 -  7 C 13
jaso2jh() wrong!9D95 -  7 C 15
jaso2jh() wrong!9DA1 -  7 D 1
jaso2jh() wrong!9DA2 -  7 D 2
jaso2jh() wrong!9DA5 -  7 D 5
jaso2jh() wrong!9DA9 -  7 D 9
jaso2jh() wrong!9DB1 -  7 D 11
jaso2jh() wrong!9DB3 -  7 D 13
jaso2jh() wrong!9DB5 -  7 D 15
jaso2jh() wrong!9DB7 -  7 D 17
jaso2jh() wrong!9DC1 -  7 E 1
jaso2jh() wrong!9DC5 -  7 E 5
jaso2jh() wrong!9DD7 -  7 E 17
jaso2jh() wrong!9DF6 -  7 F 16
jaso2jh() wrong!9E41 -  7 12 1
jaso2jh() wrong!9E45 -  7 12 5
jaso2jh() wrong!9E49 -  7 12 9
jaso2jh() wrong!9E51 -  7 12 11
jaso2jh() wrong!9E53 -  7 12 13
jaso2jh() wrong!9E55 -  7 12 15
jaso2jh() wrong!9E57 -  7 12 17
jaso2jh() wrong!9E61 -  7 13 1
jaso2jh() wrong!9E65 -  7 13 5
jaso2jh() wrong!9E69 -  7 13 9
jaso2jh() wrong!9E73 -  7 13 13
jaso2jh() wrong!9E75 -  7 13 15
jaso2jh() wrong!9E77 -  7 13 17
jaso2jh() wrong!9E81 -  7 14 1
jaso2jh() wrong!9E82 -  7 14 2
jaso2jh() wrong!9E85 -  7 14 5
jaso2jh() wrong!9E89 -  7 14 9
jaso2jh() wrong!9E91 -  7 14 11
jaso2jh() wrong!9E93 -  7 14 13
jaso2jh() wrong!9E95 -  7 14 15
jaso2jh() wrong!9E97 -  7 14 17
jaso2jh() wrong!9EA1 -  7 15 1
jaso2jh() wrong!9EB6 -  7 15 16
jaso2jh() wrong!9EC1 -  7 16 1
jaso2jh() wrong!9EE1 -  7 17 1
jaso2jh() wrong!9EE2 -  7 17 2
jaso2jh() wrong!9EE5 -  7 17 5
jaso2jh() wrong!9EE9 -  7 17 9
jaso2jh() wrong!9EF1 -  7 17 11
jaso2jh() wrong!9EF5 -  7 17 15
jaso2jh() wrong!9EF7 -  7 17 17
jaso2jh() wrong!9F41 -  7 1A 1
jaso2jh() wrong!9F42 -  7 1A 2
jaso2jh() wrong!9F45 -  7 1A 5
jaso2jh() wrong!9F49 -  7 1A 9
jaso2jh() wrong!9F51 -  7 1A 11
jaso2jh() wrong!9F53 -  7 1A 13
jaso2jh() wrong!9F55 -  7 1A 15
jaso2jh() wrong!9F57 -  7 1A 17
jaso2jh() wrong!9F61 -  7 1B 1
jaso2jh() wrong!9F62 -  7 1B 2
jaso2jh() wrong!9F65 -  7 1B 5
jaso2jh() wrong!9F69 -  7 1B 9
jaso2jh() wrong!9F71 -  7 1B 11
jaso2jh() wrong!9F73 -  7 1B 13
jaso2jh() wrong!9F75 -  7 1B 15
jaso2jh() wrong!9F77 -  7 1B 17
jaso2jh() wrong!9F78 -  7 1B 18
jaso2jh() wrong!9F7B -  7 1B 1B
jaso2jh() wrong!9F7C -  7 1B 1C
jaso2jh() wrong!9FA1 -  7 1D 1
jaso2jh() wrong!9FA2 -  7 1D 2
jaso2jh() wrong!9FA5 -  7 1D 5
jaso2jh() wrong!9FA9 -  7 1D 9
jaso2jh() wrong!9FB1 -  7 1D 11
jaso2jh() wrong!9FB3 -  7 1D 13
jaso2jh() wrong!9FB5 -  7 1D 15
jaso2jh() wrong!9FB7 -  7 1D 17
jaso2jh() wrong!A061 -  8 3 1
jaso2jh() wrong!A062 -  8 3 2
jaso2jh() wrong!A065 -  8 3 5
jaso2jh() wrong!A067 -  8 3 7
jaso2jh() wrong!A068 -  8 3 8
jaso2jh() wrong!A069 -  8 3 9
jaso2jh() wrong!A06A -  8 3 A
jaso2jh() wrong!A06B -  8 3 B
jaso2jh() wrong!A071 -  8 3 11
jaso2jh() wrong!A073 -  8 3 13
jaso2jh() wrong!A075 -  8 3 15
jaso2jh() wrong!A077 -  8 3 17
jaso2jh() wrong!A078 -  8 3 18
jaso2jh() wrong!A07B -  8 3 1B
jaso2jh() wrong!A07D -  8 3 1D
jaso2jh() wrong!A081 -  8 4 1
jaso2jh() wrong!A082 -  8 4 2
jaso2jh() wrong!A085 -  8 4 5
jaso2jh() wrong!A089 -  8 4 9
jaso2jh() wrong!A091 -  8 4 11
jaso2jh() wrong!A093 -  8 4 13
jaso2jh() wrong!A095 -  8 4 15
jaso2jh() wrong!A096 -  8 4 16
jaso2jh() wrong!A097 -  8 4 17
jaso2jh() wrong!A098 -  8 4 18
jaso2jh() wrong!A0A1 -  8 5 1
jaso2jh() wrong!A0A2 -  8 5 2
jaso2jh() wrong!A0A9 -  8 5 9
jaso2jh() wrong!A0B7 -  8 5 17
jaso2jh() wrong!A0E1 -  8 7 1
jaso2jh() wrong!A0E2 -  8 7 2
jaso2jh() wrong!A0E5 -  8 7 5
jaso2jh() wrong!A0E9 -  8 7 9
jaso2jh() wrong!A0EB -  8 7 B
jaso2jh() wrong!A0F1 -  8 7 11
jaso2jh() wrong!A0F3 -  8 7 13
jaso2jh() wrong!A0F5 -  8 7 15
jaso2jh() wrong!A0F7 -  8 7 17
jaso2jh() wrong!A0F8 -  8 7 18
jaso2jh() wrong!A0FD -  8 7 1D
jaso2jh() wrong!A141 -  8 A 1
jaso2jh() wrong!A142 -  8 A 2
jaso2jh() wrong!A145 -  8 A 5
jaso2jh() wrong!A149 -  8 A 9
jaso2jh() wrong!A151 -  8 A 11
jaso2jh() wrong!A153 -  8 A 13
jaso2jh() wrong!A155 -  8 A 15
jaso2jh() wrong!A156 -  8 A 16
jaso2jh() wrong!A157 -  8 A 17
jaso2jh() wrong!A161 -  8 B 1
jaso2jh() wrong!A162 -  8 B 2
jaso2jh() wrong!A165 -  8 B 5
jaso2jh() wrong!A169 -  8 B 9
jaso2jh() wrong!A175 -  8 B 15
jaso2jh() wrong!A176 -  8 B 16
jaso2jh() wrong!A177 -  8 B 17
jaso2jh() wrong!A179 -  8 B 19
jaso2jh() wrong!A181 -  8 C 1
jaso2jh() wrong!A1A1 -  8 D 1
jaso2jh() wrong!A1A2 -  8 D 2
jaso2jh() wrong!A1A4 -  8 D 4
jaso2jh() wrong!A1A5 -  8 D 5
jaso2jh() wrong!A1A9 -  8 D 9
jaso2jh() wrong!A1AB -  8 D B
jaso2jh() wrong!A1B1 -  8 D 11
jaso2jh() wrong!A1B3 -  8 D 13
jaso2jh() wrong!A1B5 -  8 D 15
jaso2jh() wrong!A1B7 -  8 D 17
jaso2jh() wrong!A1C1 -  8 E 1
jaso2jh() wrong!A1C5 -  8 E 5
jaso2jh() wrong!A1D6 -  8 E 16
jaso2jh() wrong!A1D7 -  8 E 17
jaso2jh() wrong!A241 -  8 12 1
jaso2jh() wrong!A245 -  8 12 5
jaso2jh() wrong!A249 -  8 12 9
jaso2jh() wrong!A253 -  8 12 13
jaso2jh() wrong!A255 -  8 12 15
jaso2jh() wrong!A257 -  8 12 17
jaso2jh() wrong!A261 -  8 13 1
jaso2jh() wrong!A265 -  8 13 5
jaso2jh() wrong!A269 -  8 13 9
jaso2jh() wrong!A273 -  8 13 13
jaso2jh() wrong!A275 -  8 13 15
jaso2jh() wrong!A281 -  8 14 1
jaso2jh() wrong!A282 -  8 14 2
jaso2jh() wrong!A283 -  8 14 3
jaso2jh() wrong!A285 -  8 14 5
jaso2jh() wrong!A288 -  8 14 8
jaso2jh() wrong!A289 -  8 14 9
jaso2jh() wrong!A28A -  8 14 A
jaso2jh() wrong!A28B -  8 14 B
jaso2jh() wrong!A291 -  8 14 11
jaso2jh() wrong!A293 -  8 14 13
jaso2jh() wrong!A295 -  8 14 15
jaso2jh() wrong!A297 -  8 14 17
jaso2jh() wrong!A29B -  8 14 1B
jaso2jh() wrong!A29D -  8 14 1D
jaso2jh() wrong!A2A1 -  8 15 1
jaso2jh() wrong!A2A5 -  8 15 5
jaso2jh() wrong!A2A9 -  8 15 9
jaso2jh() wrong!A2B3 -  8 15 13
jaso2jh() wrong!A2B5 -  8 15 15
jaso2jh() wrong!A2C1 -  8 16 1
jaso2jh() wrong!A2E1 -  8 17 1
jaso2jh() wrong!A2E5 -  8 17 5
jaso2jh() wrong!A2E9 -  8 17 9
jaso2jh() wrong!A341 -  8 1A 1
jaso2jh() wrong!A345 -  8 1A 5
jaso2jh() wrong!A349 -  8 1A 9
jaso2jh() wrong!A351 -  8 1A 11
jaso2jh() wrong!A355 -  8 1A 15
jaso2jh() wrong!A361 -  8 1B 1
jaso2jh() wrong!A365 -  8 1B 5
jaso2jh() wrong!A369 -  8 1B 9
jaso2jh() wrong!A371 -  8 1B 11
jaso2jh() wrong!A375 -  8 1B 15
jaso2jh() wrong!A3A1 -  8 1D 1
jaso2jh() wrong!A3A2 -  8 1D 2
jaso2jh() wrong!A3A5 -  8 1D 5
jaso2jh() wrong!A3A8 -  8 1D 8
jaso2jh() wrong!A3A9 -  8 1D 9
jaso2jh() wrong!A3AB -  8 1D B
jaso2jh() wrong!A3B1 -  8 1D 11
jaso2jh() wrong!A3B3 -  8 1D 13
jaso2jh() wrong!A3B5 -  8 1D 15
jaso2jh() wrong!A3B6 -  8 1D 16
jaso2jh() wrong!A3B7 -  8 1D 17
jaso2jh() wrong!A3B9 -  8 1D 19
jaso2jh() wrong!A3BB -  8 1D 1B
jaso2jh() wrong!A461 -  9 3 1
jaso2jh() wrong!A462 -  9 3 2
jaso2jh() wrong!A463 -  9 3 3
jaso2jh() wrong!A464 -  9 3 4
jaso2jh() wrong!A465 -  9 3 5
jaso2jh() wrong!A468 -  9 3 8
jaso2jh() wrong!A469 -  9 3 9
jaso2jh() wrong!A46A -  9 3 A
jaso2jh() wrong!A46B -  9 3 B
jaso2jh() wrong!A46C -  9 3 C
jaso2jh() wrong!A471 -  9 3 11
jaso2jh() wrong!A473 -  9 3 13
jaso2jh() wrong!A475 -  9 3 15
jaso2jh() wrong!A477 -  9 3 17
jaso2jh() wrong!A47B -  9 3 1B
jaso2jh() wrong!A481 -  9 4 1
jaso2jh() wrong!A482 -  9 4 2
jaso2jh() wrong!A485 -  9 4 5
jaso2jh() wrong!A489 -  9 4 9
jaso2jh() wrong!A491 -  9 4 11
jaso2jh() wrong!A493 -  9 4 13
jaso2jh() wrong!A495 -  9 4 15
jaso2jh() wrong!A496 -  9 4 16
jaso2jh() wrong!A497 -  9 4 17
jaso2jh() wrong!A49B -  9 4 1B
jaso2jh() wrong!A4A1 -  9 5 1
jaso2jh() wrong!A4A2 -  9 5 2
jaso2jh() wrong!A4A5 -  9 5 5
jaso2jh() wrong!A4B3 -  9 5 13
jaso2jh() wrong!A4E1 -  9 7 1
jaso2jh() wrong!A4E2 -  9 7 2
jaso2jh() wrong!A4E5 -  9 7 5
jaso2jh() wrong!A4E8 -  9 7 8
jaso2jh() wrong!A4E9 -  9 7 9
jaso2jh() wrong!A4EB -  9 7 B
jaso2jh() wrong!A4F1 -  9 7 11
jaso2jh() wrong!A4F3 -  9 7 13
jaso2jh() wrong!A4F5 -  9 7 15
jaso2jh() wrong!A4F7 -  9 7 17
jaso2jh() wrong!A4F8 -  9 7 18
jaso2jh() wrong!A541 -  9 A 1
jaso2jh() wrong!A542 -  9 A 2
jaso2jh() wrong!A545 -  9 A 5
jaso2jh() wrong!A548 -  9 A 8
jaso2jh() wrong!A549 -  9 A 9
jaso2jh() wrong!A551 -  9 A 11
jaso2jh() wrong!A553 -  9 A 13
jaso2jh() wrong!A555 -  9 A 15
jaso2jh() wrong!A556 -  9 A 16
jaso2jh() wrong!A557 -  9 A 17
jaso2jh() wrong!A561 -  9 B 1
jaso2jh() wrong!A562 -  9 B 2
jaso2jh() wrong!A565 -  9 B 5
jaso2jh() wrong!A569 -  9 B 9
jaso2jh() wrong!A573 -  9 B 13
jaso2jh() wrong!A575 -  9 B 15
jaso2jh() wrong!A576 -  9 B 16
jaso2jh() wrong!A577 -  9 B 17
jaso2jh() wrong!A57B -  9 B 1B
jaso2jh() wrong!A581 -  9 C 1
jaso2jh() wrong!A585 -  9 C 5
jaso2jh() wrong!A5A1 -  9 D 1
jaso2jh() wrong!A5A2 -  9 D 2
jaso2jh() wrong!A5A3 -  9 D 3
jaso2jh() wrong!A5A5 -  9 D 5
jaso2jh() wrong!A5A9 -  9 D 9
jaso2jh() wrong!A5B1 -  9 D 11
jaso2jh() wrong!A5B3 -  9 D 13
jaso2jh() wrong!A5B5 -  9 D 15
jaso2jh() wrong!A5B7 -  9 D 17
jaso2jh() wrong!A5C1 -  9 E 1
jaso2jh() wrong!A5C5 -  9 E 5
jaso2jh() wrong!A5D6 -  9 E 16
jaso2jh() wrong!A5E1 -  9 F 1
jaso2jh() wrong!A5F6 -  9 F 16
jaso2jh() wrong!A641 -  9 12 1
jaso2jh() wrong!A642 -  9 12 2
jaso2jh() wrong!A645 -  9 12 5
jaso2jh() wrong!A649 -  9 12 9
jaso2jh() wrong!A651 -  9 12 11
jaso2jh() wrong!A653 -  9 12 13
jaso2jh() wrong!A661 -  9 13 1
jaso2jh() wrong!A665 -  9 13 5
jaso2jh() wrong!A681 -  9 14 1
jaso2jh() wrong!A682 -  9 14 2
jaso2jh() wrong!A685 -  9 14 5
jaso2jh() wrong!A688 -  9 14 8
jaso2jh() wrong!A689 -  9 14 9
jaso2jh() wrong!A68A -  9 14 A
jaso2jh() wrong!A68B -  9 14 B
jaso2jh() wrong!A691 -  9 14 11
jaso2jh() wrong!A693 -  9 14 13
jaso2jh() wrong!A695 -  9 14 15
jaso2jh() wrong!A697 -  9 14 17
jaso2jh() wrong!A69B -  9 14 1B
jaso2jh() wrong!A69C -  9 14 1C
jaso2jh() wrong!A6A1 -  9 15 1
jaso2jh() wrong!A6A9 -  9 15 9
jaso2jh() wrong!A6B6 -  9 15 16
jaso2jh() wrong!A6C1 -  9 16 1
jaso2jh() wrong!A6E1 -  9 17 1
jaso2jh() wrong!A6E2 -  9 17 2
jaso2jh() wrong!A6E5 -  9 17 5
jaso2jh() wrong!A6E9 -  9 17 9
jaso2jh() wrong!A6F7 -  9 17 17
jaso2jh() wrong!A741 -  9 1A 1
jaso2jh() wrong!A745 -  9 1A 5
jaso2jh() wrong!A749 -  9 1A 9
jaso2jh() wrong!A751 -  9 1A 11
jaso2jh() wrong!A755 -  9 1A 15
jaso2jh() wrong!A757 -  9 1A 17
jaso2jh() wrong!A761 -  9 1B 1
jaso2jh() wrong!A762 -  9 1B 2
jaso2jh() wrong!A765 -  9 1B 5
jaso2jh() wrong!A769 -  9 1B 9
jaso2jh() wrong!A771 -  9 1B 11
jaso2jh() wrong!A773 -  9 1B 13
jaso2jh() wrong!A775 -  9 1B 15
jaso2jh() wrong!A7A1 -  9 1D 1
jaso2jh() wrong!A7A2 -  9 1D 2
jaso2jh() wrong!A7A5 -  9 1D 5
jaso2jh() wrong!A7A9 -  9 1D 9
jaso2jh() wrong!A7AB -  9 1D B
jaso2jh() wrong!A7B1 -  9 1D 11
jaso2jh() wrong!A7B3 -  9 1D 13
jaso2jh() wrong!A7B5 -  9 1D 15
jaso2jh() wrong!A7B7 -  9 1D 17
jaso2jh() wrong!A7B8 -  9 1D 18
jaso2jh() wrong!A7B9 -  9 1D 19
jaso2jh() wrong!A861 -  A 3 1
jaso2jh() wrong!A862 -  A 3 2
jaso2jh() wrong!A865 -  A 3 5
jaso2jh() wrong!A869 -  A 3 9
jaso2jh() wrong!A86B -  A 3 B
jaso2jh() wrong!A871 -  A 3 11
jaso2jh() wrong!A873 -  A 3 13
jaso2jh() wrong!A875 -  A 3 15
jaso2jh() wrong!A876 -  A 3 16
jaso2jh() wrong!A877 -  A 3 17
jaso2jh() wrong!A87D -  A 3 1D
jaso2jh() wrong!A881 -  A 4 1
jaso2jh() wrong!A882 -  A 4 2
jaso2jh() wrong!A885 -  A 4 5
jaso2jh() wrong!A889 -  A 4 9
jaso2jh() wrong!A891 -  A 4 11
jaso2jh() wrong!A893 -  A 4 13
jaso2jh() wrong!A895 -  A 4 15
jaso2jh() wrong!A896 -  A 4 16
jaso2jh() wrong!A897 -  A 4 17
jaso2jh() wrong!A8A1 -  A 5 1
jaso2jh() wrong!A8A2 -  A 5 2
jaso2jh() wrong!A8B1 -  A 5 11
jaso2jh() wrong!A8E1 -  A 7 1
jaso2jh() wrong!A8E2 -  A 7 2
jaso2jh() wrong!A8E5 -  A 7 5
jaso2jh() wrong!A8E8 -  A 7 8
jaso2jh() wrong!A8E9 -  A 7 9
jaso2jh() wrong!A8F1 -  A 7 11
jaso2jh() wrong!A8F5 -  A 7 15
jaso2jh() wrong!A8F6 -  A 7 16
jaso2jh() wrong!A8F7 -  A 7 17
jaso2jh() wrong!A941 -  A A 1
jaso2jh() wrong!A957 -  A A 17
jaso2jh() wrong!A961 -  A B 1
jaso2jh() wrong!A962 -  A B 2
jaso2jh() wrong!A971 -  A B 11
jaso2jh() wrong!A973 -  A B 13
jaso2jh() wrong!A975 -  A B 15
jaso2jh() wrong!A976 -  A B 16
jaso2jh() wrong!A977 -  A B 17
jaso2jh() wrong!A9A1 -  A D 1
jaso2jh() wrong!A9A2 -  A D 2
jaso2jh() wrong!A9A5 -  A D 5
jaso2jh() wrong!A9A9 -  A D 9
jaso2jh() wrong!A9B1 -  A D 11
jaso2jh() wrong!A9B3 -  A D 13
jaso2jh() wrong!A9B7 -  A D 17
jaso2jh() wrong!AA41 -  A 12 1
jaso2jh() wrong!AA61 -  A 13 1
jaso2jh() wrong!AA77 -  A 13 17
jaso2jh() wrong!AA81 -  A 14 1
jaso2jh() wrong!AA82 -  A 14 2
jaso2jh() wrong!AA85 -  A 14 5
jaso2jh() wrong!AA89 -  A 14 9
jaso2jh() wrong!AA91 -  A 14 11
jaso2jh() wrong!AA95 -  A 14 15
jaso2jh() wrong!AA97 -  A 14 17
jaso2jh() wrong!AB41 -  A 1A 1
jaso2jh() wrong!AB57 -  A 1A 17
jaso2jh() wrong!AB61 -  A 1B 1
jaso2jh() wrong!AB65 -  A 1B 5
jaso2jh() wrong!AB69 -  A 1B 9
jaso2jh() wrong!AB71 -  A 1B 11
jaso2jh() wrong!AB73 -  A 1B 13
jaso2jh() wrong!ABA1 -  A 1D 1
jaso2jh() wrong!ABA2 -  A 1D 2
jaso2jh() wrong!ABA5 -  A 1D 5
jaso2jh() wrong!ABA9 -  A 1D 9
jaso2jh() wrong!ABB1 -  A 1D 11
jaso2jh() wrong!ABB3 -  A 1D 13
jaso2jh() wrong!ABB5 -  A 1D 15
jaso2jh() wrong!ABB7 -  A 1D 17
jaso2jh() wrong!AC61 -  B 3 1
jaso2jh() wrong!AC62 -  B 3 2
jaso2jh() wrong!AC64 -  B 3 4
jaso2jh() wrong!AC65 -  B 3 5
jaso2jh() wrong!AC68 -  B 3 8
jaso2jh() wrong!AC69 -  B 3 9
jaso2jh() wrong!AC6A -  B 3 A
jaso2jh() wrong!AC6B -  B 3 B
jaso2jh() wrong!AC71 -  B 3 11
jaso2jh() wrong!AC73 -  B 3 13
jaso2jh() wrong!AC75 -  B 3 15
jaso2jh() wrong!AC76 -  B 3 16
jaso2jh() wrong!AC77 -  B 3 17
jaso2jh() wrong!AC7B -  B 3 1B
jaso2jh() wrong!AC81 -  B 4 1
jaso2jh() wrong!AC82 -  B 4 2
jaso2jh() wrong!AC85 -  B 4 5
jaso2jh() wrong!AC89 -  B 4 9
jaso2jh() wrong!AC91 -  B 4 11
jaso2jh() wrong!AC93 -  B 4 13
jaso2jh() wrong!AC95 -  B 4 15
jaso2jh() wrong!AC96 -  B 4 16
jaso2jh() wrong!AC97 -  B 4 17
jaso2jh() wrong!ACA1 -  B 5 1
jaso2jh() wrong!ACA2 -  B 5 2
jaso2jh() wrong!ACA5 -  B 5 5
jaso2jh() wrong!ACA9 -  B 5 9
jaso2jh() wrong!ACB1 -  B 5 11
jaso2jh() wrong!ACB3 -  B 5 13
jaso2jh() wrong!ACB5 -  B 5 15
jaso2jh() wrong!ACB7 -  B 5 17
jaso2jh() wrong!ACC1 -  B 6 1
jaso2jh() wrong!ACC5 -  B 6 5
jaso2jh() wrong!ACC9 -  B 6 9
jaso2jh() wrong!ACD1 -  B 6 11
jaso2jh() wrong!ACD7 -  B 6 17
jaso2jh() wrong!ACE1 -  B 7 1
jaso2jh() wrong!ACE2 -  B 7 2
jaso2jh() wrong!ACE3 -  B 7 3
jaso2jh() wrong!ACE4 -  B 7 4
jaso2jh() wrong!ACE5 -  B 7 5
jaso2jh() wrong!ACE8 -  B 7 8
jaso2jh() wrong!ACE9 -  B 7 9
jaso2jh() wrong!ACEB -  B 7 B
jaso2jh() wrong!ACEC -  B 7 C
jaso2jh() wrong!ACF1 -  B 7 11
jaso2jh() wrong!ACF3 -  B 7 13
jaso2jh() wrong!ACF5 -  B 7 15
jaso2jh() wrong!ACF6 -  B 7 16
jaso2jh() wrong!ACF7 -  B 7 17
jaso2jh() wrong!ACFC -  B 7 1C
jaso2jh() wrong!AD41 -  B A 1
jaso2jh() wrong!AD42 -  B A 2
jaso2jh() wrong!AD45 -  B A 5
jaso2jh() wrong!AD49 -  B A 9
jaso2jh() wrong!AD51 -  B A 11
jaso2jh() wrong!AD53 -  B A 13
jaso2jh() wrong!AD55 -  B A 15
jaso2jh() wrong!AD56 -  B A 16
jaso2jh() wrong!AD57 -  B A 17
jaso2jh() wrong!AD61 -  B B 1
jaso2jh() wrong!AD62 -  B B 2
jaso2jh() wrong!AD65 -  B B 5
jaso2jh() wrong!AD69 -  B B 9
jaso2jh() wrong!AD71 -  B B 11
jaso2jh() wrong!AD73 -  B B 13
jaso2jh() wrong!AD75 -  B B 15
jaso2jh() wrong!AD76 -  B B 16
jaso2jh() wrong!AD77 -  B B 17
jaso2jh() wrong!AD81 -  B C 1
jaso2jh() wrong!AD85 -  B C 5
jaso2jh() wrong!AD89 -  B C 9
jaso2jh() wrong!AD97 -  B C 17
jaso2jh() wrong!ADA1 -  B D 1
jaso2jh() wrong!ADA2 -  B D 2
jaso2jh() wrong!ADA3 -  B D 3
jaso2jh() wrong!ADA5 -  B D 5
jaso2jh() wrong!ADA9 -  B D 9
jaso2jh() wrong!ADAB -  B D B
jaso2jh() wrong!ADB1 -  B D 11
jaso2jh() wrong!ADB3 -  B D 13
jaso2jh() wrong!ADB5 -  B D 15
jaso2jh() wrong!ADB7 -  B D 17
jaso2jh() wrong!ADBB -  B D 1B
jaso2jh() wrong!ADC1 -  B E 1
jaso2jh() wrong!ADC2 -  B E 2
jaso2jh() wrong!ADC5 -  B E 5
jaso2jh() wrong!ADC9 -  B E 9
jaso2jh() wrong!ADD7 -  B E 17
jaso2jh() wrong!ADE1 -  B F 1
jaso2jh() wrong!ADE5 -  B F 5
jaso2jh() wrong!ADE9 -  B F 9
jaso2jh() wrong!ADF1 -  B F 11
jaso2jh() wrong!ADF5 -  B F 15
jaso2jh() wrong!ADF6 -  B F 16
jaso2jh() wrong!AE41 -  B 12 1
jaso2jh() wrong!AE45 -  B 12 5
jaso2jh() wrong!AE49 -  B 12 9
jaso2jh() wrong!AE51 -  B 12 11
jaso2jh() wrong!AE53 -  B 12 13
jaso2jh() wrong!AE55 -  B 12 15
jaso2jh() wrong!AE61 -  B 13 1
jaso2jh() wrong!AE62 -  B 13 2
jaso2jh() wrong!AE65 -  B 13 5
jaso2jh() wrong!AE69 -  B 13 9
jaso2jh() wrong!AE71 -  B 13 11
jaso2jh() wrong!AE73 -  B 13 13
jaso2jh() wrong!AE75 -  B 13 15
